jahr;name;beschreibung;zahl;mh;daten;land;lat;lon;fehler;url;bild1;bild2;bild3;Strasse ;PLZ ;Ort;Anlagentyp
2003;Braunhubergasse;FB;28;m³/h;28 m³/h;AT;48.1756;16.4125;;;;;;;;;
2003;Großfeldsiedlung;HB Lehrschwimmbecken;95;m³/h;95 m³/h;AT;48.266;16.414;;;;;;;;;
2003;Niklasdorf;FB;360;m³/h;360 m³/h;AT;47.3833;15.1;;;;;;;;;
2003;Kurhotel Bad Tatzmannsdorf;FB / HB / WP;139/139/60;m³/h;139/139/60 m³/h;AT;47.3367;16.2367;;;;;;;;;
2003;Therme Lutzmannsburg;HB Erweiterung;777;m³/h;777 m³/h;AT;47.4461;16.5042;;;;;;;;;
2003;Vitalhotel Loipersdorf;HB;78/52/30;m³/h;78/52/30 m³/h;AT;47.0;16.0667;;;;;;;;;
2003;Hotel Landhaus Legenstein Bad Gleichenberg;Hotel Bad;45;m³/h;45 m³/h;AT;46.8714;15.8958;;;;;;;;;
2003;Stako Gerald Kozmuth, Graz;HB;75;m³/h;75 m³/h;AT;47.0707;15.4395;;;;;;;;;
2003;Alpentherme Bad Hofgastein;Therme;1187;m³/h;1187 m³/h;AT;47.1706;13.1022;;;;;;;;;
2003;Seniorenresidenz Waldhof, Lieboch;HB;40;m³/h;40 m³/h;AT;48.3893;16.6321;;;;;;;;;
2003;Hotel Hochschober, Turracherhöhe;Solebecken u HB Sanierung;26634,00;m³/h;26634 m³/h;AT;46.8972;13.8762;;;;;;;;;
2003;Turist Hotel Zaton;FB Attraktionsbecken 477,18 m³/h, Kinderbecken 18 m³/h;;;;HR;44.2461;15.2431;;;;;;;;;
2003;Bad Weissenbach;Therme / FB;63;m³/h;63 m³/h;AT;47.754;14.6233;;;;;;;;;
2003;Feldbach;HB;107;m³/h;107 m³/h;AT;46.9533;15.9069;;;;;;;;;
2003;Hotel Bergwirt, Graden;HB;46;m³/h;46 m³/h;AT;47.1136;14.9378;;;;;;;;;
2003;Mag. Alfred Wall, Graz;FB / Privatbad;40;m³/h;40 m³/h;AT;47.0707;15.4395;;;;;;;;;
2003;Sanatorium Laßnitzhöhe;Therapiebecken;41;m³/h;41 m³/h;AT;47.0667;15.5667;;;;;;;;;
